movie_id,averagerating,numvotes,primary_title,original_title,runtime_minutes,genres,title,studio,domestic_gross,year
tt1389137,7.1,126849,We Bought a Zoo,We Bought a Zoo,124.0,"Comedy,Drama,Family",We Bought a Zoo,Fox,75600000.0,2011
tt1413529,7.1,907,Golden Slumber,Gôruden suranbâ,139.0,"Action,Drama,Thriller",Golden Slumber,CJ,94500.0,2018
tt1441952,6.8,58864,Salmon Fishing in the Yemen,Salmon Fishing in the Yemen,107.0,"Comedy,Drama,Romance",Salmon Fishing in the Yemen,CBS,9000000.0,2012
tt1456635,6.8,79786,Goon,Goon,92.0,"Comedy,Drama,Sport",Goon,Magn.,4200000.0,2012
tt1478964,6.7,93868,Attack the Block,Attack the Block,88.0,"Action,Comedy,Sci-Fi",Attack the Block,SGem,1000000.0,2011
tt1480656,5.0,41897,Cosmopolis,Cosmopolis,109.0,"Drama,Fantasy",Cosmopolis,EOne,764000.0,2012
tt1502404,5.4,90203,Drive Angry,Drive Angry,104.0,"Action,Fantasy,Thriller",Drive Angry,Sum.,10700000.0,2011
tt1527835,6.3,1991,Archipelago,Archipelago,114.0,Drama,Archipelago,KL,7800.0,2014
tt1562859,5.4,6616,Golmaal 3,Golmaal 3,155.0,"Action,Comedy",Golmaal 3,Eros,1100000.0,2010
tt1572491,6.6,12183,The Last Circus,Balada triste de trompeta,107.0,"Comedy,Drama,Horror",The Last Circus,Magn.,40500.0,2011
tt1588337,7.2,13991,Of Gods and Men,Des hommes et des dieux,122.0,"Drama,History",Of Gods and Men,SPC,4000000.0,2011
tt1588353,7.6,45,Bang Bang,Bang Bang,102.0,Drama,Bang Bang,FIP,2500000.0,2014
tt1596346,7.1,41659,Soul Surfer,Soul Surfer,112.0,"Biography,Drama,Family",Soul Surfer,TriS,43900000.0,2011
tt1605776,8.3,7,The Visit,The Visit,90.0,"Comedy,Drama,Romance",The Visit,Uni.,65200000.0,2015
tt1615160,7.0,81288,The Foreigner,The Foreigner,113.0,"Action,Thriller",The Foreigner,STX,34400000.0,2017
tt1650407,6.3,8786,"Turn Me On, Dammit!","Få meg på, for faen",76.0,"Comedy,Romance","Turn Me On, Dammit!",NYer,126000.0,2012
tt1664892,6.5,2832,"Happy, Happy",Sykt lykkelig,85.0,"Comedy,Drama","Happy, Happy",Magn.,45200.0,2011
tt1667307,5.7,8794,Damsels in Distress,Damsels in Distress,99.0,"Comedy,Drama,Romance",Damsels in Distress,SPC,1000000.0,2012
tt1674773,7.1,9423,Hannah Arendt,Hannah Arendt,113.0,"Biography,Drama",Hannah Arendt,Zeit.,717000.0,2013
tt1691152,7.2,4144,David Lynch: The Art Life,David Lynch: The Art Life,88.0,"Biography,Documentary",David Lynch: The Art Life,Jan.,171000.0,2017
tt1788391,6.4,32807,Kill List,Kill List,95.0,"Crime,Drama,Horror",Kill List,IFC,29100.0,2012
tt1826727,7.6,47,Life of the Party,Life of the Party,84.0,"Comedy,Drama",Life of the Party,WB (NL),53100000.0,2018
tt1839642,6.2,4710,The Face of Love,The Face of Love,92.0,"Drama,Mystery,Romance",The Face of Love,IFC,350000.0,2014
tt7286916,8.1,6993,The Dawn Wall,The Dawn Wall,100.0,"Adventure,Biography,Documentary",The Dawn Wall,Orch.,112000.0,2018
tt7607940,1.6,2087,Namaste England,Namaste England,141.0,"Comedy,Drama,Romance",Namaste England,Eros,104000.0,2018
tt8290698,7.2,1620,The Spy Gone North,Gongjak,137.0,Drama,The Spy Gone North,CJ,501000.0,2018
tt8427036,5.4,673,Helicopter Eela,Helicopter Eela,135.0,Drama,Helicopter Eela,Eros,72000.0,2018
tt9151704,8.8,2067,Burn the Stage: The Movie,Burn the Stage: The Movie,84.0,"Documentary,Music",Burn the Stage: The Movie,Trafalgar,4200000.0,2018
tt0803096,6.9,225557,Warcraft,Warcraft,123.0,"Action,Adventure,Fantasy",Warcraft,Uni.,47400000.0,2016
tt0964517,7.8,316539,The Fighter,The Fighter,116.0,"Biography,Drama,Sport",The Fighter,Par.,93600000.0,2010
tt0990407,5.8,148622,The Green Hornet,The Green Hornet,119.0,"Action,Comedy,Crime",The Green Hornet,Sony,98800000.0,2011
tt1850457,6.0,58994,Sisters,Sisters,118.0,Comedy,Sisters,Uni.,87000000.0,2015
tt1866249,7.2,39731,The Sessions,The Sessions,95.0,"Biography,Comedy,Drama",The Sessions,FoxS,6000000.0,2012
tt1925518,5.3,6142,The Protector 2,Tom yum goong 2,104.0,Action,The Protector 2,Magn.,2500.0,2014
tt1943765,6.8,1232,Morgan,Morgan,89.0,"Drama,Romance",Morgan,Fox,3900000.0,2016
tt1978447,6.2,766,Policeman,Ha-shoter,105.0,Drama,Policeman,Crnth,11300.0,2014
tt2005151,7.1,154029,War Dogs,War Dogs,114.0,"Comedy,Crime,Drama",War Dogs,WB,43000000.0,2016
tt2073016,7.4,3144,The Other Son,Le fils de l'autre,105.0,Drama,The Other Son,Cohen,1300000.0,2012
tt2108546,6.8,1952,Jackie,Jackie,100.0,"Comedy,Drama",Jackie,FoxS,14000000.0,2016
tt2179136,7.3,401915,American Sniper,American Sniper,133.0,"Action,Biography,Drama",American Sniper,WB,350100000.0,2014
tt2239822,6.5,139792,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,137.0,"Action,Adventure,Fantasy",Valerian and the City of a Thousand Planets,STX,41200000.0,2017
tt2259360,6.5,858,Caught in the Web,Sou suo,117.0,Drama,Caught in the Web,Vita.,1100.0,2013
tt2296747,6.7,782,Come What May,"En mai, fais ce qu'il te plaît",114.0,"Drama,War",Come What May,Cohen,37800.0,2016
tt2334733,5.7,6900,Madame Bovary,Madame Bovary,118.0,Drama,Madame Bovary,Alc,44200.0,2015
tt2343793,6.4,24937,Third Person,Third Person,137.0,"Drama,Romance",Third Person,SPC,1000000.0,2014
tt2357129,5.9,88788,Jobs,Jobs,128.0,"Biography,Drama",Jobs,ORF,16100000.0,2013
tt2397535,7.5,225349,Predestination,Predestination,97.0,"Drama,Mystery,Sci-Fi",Predestination,VE,68400.0,2015
tt2527336,7.1,462903,Star Wars: The Last Jedi,Star Wars: Episode VIII - The Last Jedi,152.0,"Action,Adventure,Fantasy",Star Wars: The Last Jedi,BV,620200000.0,2017
tt2586118,6.8,4175,The Ardennes,D'Ardennen,96.0,Drama,The Ardennes,FM,5600.0,2017
tt2692904,7.1,120703,Locke,Locke,85.0,Drama,Locke,A24,1400000.0,2014
tt3003800,6.3,1230,Amour Fou,Amour fou,96.0,"Comedy,Drama",Amour Fou,FM,13700.0,2015
tt3062880,7.7,5535,Gett: The Trial of Viviane Amsalem,Gett,115.0,Drama,Gett: The Trial of Viviane Amsalem,MBox,988000.0,2015
tt3175038,6.5,14556,Ek Villain,Ek Villain,129.0,"Action,Crime,Drama",Ek Villain,Eros,731000.0,2014
tt3344922,6.4,3797,Hungry Hearts,Hungry Hearts,109.0,"Drama,Romance,Thriller",Hungry Hearts,IFC,6900.0,2015
tt3442006,6.4,33065,Cake,Cake,102.0,Drama,Cake,CLF,2000000.0,2015
tt3606752,6.8,59408,Cars 3,Cars 3,102.0,"Adventure,Animation,Comedy",Cars 3,BV,152900000.0,2017
tt7242142,7.4,17165,Blindspotting,Blindspotting,95.0,"Comedy,Crime,Drama",Blindspotting,LG/S,4300000.0,2018
tt1075747,4.7,51860,Jonah Hex,Jonah Hex,81.0,"Action,Drama,Fantasy",Jonah Hex,WB,10500000.0,2010
tt1109624,7.2,84679,Paddington,Paddington,95.0,"Adventure,Comedy,Family",Paddington,W/Dim.,76300000.0,2015
tt1111235,4.6,77,Trance,Trance,83.0,Horror,Trance,FoxS,2300000.0,2013
tt1217209,7.1,338728,Brave,Brave,93.0,"Adventure,Animation,Comedy",Brave,BV,237300000.0,2012
tt1234654,6.1,33702,Greenberg,Greenberg,107.0,"Comedy,Drama,Romance",Greenberg,Focus,4200000.0,2010
tt1265990,4.9,33062,The Roommate,The Roommate,91.0,"Drama,Thriller",The Roommate,SGem,37300000.0,2011
tt1270842,6.4,10226,Norwegian Wood,Noruwei no mori,133.0,"Drama,Romance",Norwegian Wood,RF,13000.0,2012
tt1334470,5.4,3847,Raavan,Raavan,130.0,"Action,Adventure,Crime",Raavan,Relbig.,709000.0,2010
tt1336617,6.3,32457,Cyrus,Cyrus,91.0,"Comedy,Drama,Romance",Cyrus,FoxS,7500000.0,2010
tt1374992,6.4,66347,Upside Down,Upside Down,109.0,"Drama,Fantasy,Romance",Upside Down,MNE,105000.0,2013
tt1395025,5.2,6613,Agent Vinod,Agent Vinod,157.0,"Action,Adventure,Thriller",Agent Vinod,Eros,698000.0,2012
tt1440732,5.4,17055,Bel Ami,Bel Ami,102.0,"Drama,History,Romance",Bel Ami,Magn.,120000.0,2012
tt1442571,6.4,7100,14 Blades,Jin yi wei,114.0,"Action,History,Thriller",14 Blades,RTWC,1400000.0,2014
tt1470023,5.5,39782,MacGruber,MacGruber,90.0,"Action,Comedy,Romance",MacGruber,Uni.,8500000.0,2010
tt1488555,6.3,155374,The Change-Up,The Change-Up,112.0,"Comedy,Fantasy",The Change-Up,Uni.,37100000.0,2011
tt1588173,6.9,208709,Warm Bodies,Warm Bodies,98.0,"Comedy,Horror,Romance",Warm Bodies,LG/S,66400000.0,2013
tt1615918,4.4,28158,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,87.0,"Adventure,Animation,Comedy",Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,2011
tt1645089,8.3,65304,Inside Job,Inside Job,109.0,"Crime,Documentary",Inside Job,SPC,4300000.0,2010
tt1646980,5.9,26994,The Double,The Double,98.0,"Action,Crime,Drama",The Double,Imag.,138000.0,2011
tt1650062,7.0,320575,Super 8,Super 8,112.0,"Mystery,Sci-Fi,Thriller",Super 8,Par.,127000000.0,2011
tt1650554,6.6,238832,Kick-Ass 2,Kick-Ass 2,103.0,"Action,Comedy,Crime",Kick-Ass 2,Uni.,28800000.0,2013
tt1657299,6.2,10018,The Decoy Bride,The Decoy Bride,89.0,"Comedy,Drama,Romance",The Decoy Bride,IFC,800.0,2012
tt1663321,7.0,8310,Chicken with Plums,Poulet aux prunes,93.0,"Comedy,Drama",Chicken with Plums,SPC,254000.0,2012
tt1663662,6.9,443667,Pacific Rim,Pacific Rim,131.0,"Action,Adventure,Sci-Fi",Pacific Rim,WB,101800000.0,2013
